Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,SEMILEITO PREMIUM,""R$136,99"",,2024-10-23 18:26:07"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,CAMA,""R$275,04"",,2024-10-23 18:26:07"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,CAMA,""R$256,99"",,2024-10-23 18:26:07"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,SEMILEITO PREMIUM,""R$132,24"",,2024-10-23 18:26:07"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,CAMA,""R$256,99"",,2024-10-23 18:26:07"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,CONV. DD,""R$134,49"",,2024-10-23 18:26:07"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,CAMA,""R$410,99"",,2024-10-23 18:26:07"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,EXEC. DD,""R$133,49"",,2024-10-23 18:26:07"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,EXECUTIVO,""R$109,99"",,2024-10-23 18:26:07"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,SEMILEITO PREMIUM,""R$142,99"",,2024-10-23 18:26:08"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,CAMA,""R$407,94"",,2024-10-23 18:26:08"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,SEMILEITO PREMIUM,""R$142,99"",,2024-10-23 18:26:08"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,CAMA,""R$392,94"",,2024-10-23 18:26:08"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,CAMA,""R$407,94"",,2024-10-23 18:26:08"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),26/10/2024,SEMILEITO PREMIUM,""R$157,24"",,2024-10-23 18:26:08"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,SEMILEITO PREMIUM,""R$161,99"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,CAMA,""R$275,04"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,CAMA,""R$313,99"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,SEMILEITO PREMIUM,""R$157,24"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,SEMILEITO PREMIUM,""R$157,24"",,2024-10-23 18:26:17"
Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,CAMA,R$,,2024-10-23 18:26:17
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,EXECUTIVO,""R$141,77"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,EXECUTIVO,""R$141,77"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,CAMA,""R$510,99"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,SEMILEITO PREMIUM,""R$206,24"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,EXECUTIVO,""R$141,77"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,EXECUTIVO,""R$109,99"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,EXECUTIVO,""R$109,99"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,CAMA,""R$422,94"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,SEMILEITO PREMIUM,""R$171,49"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,SEMILEITO PREMIUM,""R$157,24"",,2024-10-23 18:26:17"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),27/10/2024,CAMA,""R$492,94"",,2024-10-23 18:26:17"
